Date,Open,High,Low,Close,Volume
01/03/2022,"437.93","439.27","435.64","439.25","6,017,303"
12/31/2021,"437.23","438.38","436.39","436.57","5,185,608"
12/30/2021,"439.39","440.36","437.32","437.77","3,751,831"
12/29/2021,"438.50","439.95","437.54","439.01","4,596,686"
12/28/2021,"439.28","440.19","437.66","438.48","4,865,844"
12/27/2021,"433.98","438.82","433.95","438.81","4,986,317"
12/23/2021,"430.91","434.10","430.87","432.64","5,032,684"
12/22/2021,"425.45","430.09","425.32","429.99","4,992,213"
12/21/2021,"421.65","425.85","419.52","425.69","6,916,663"
12/20/2021,"419.39","420.22","416.30","419.80","9,903,413"
12/17/2021,"425.85","428.79","422.67","424.39","8,883,451"
12/16/2021,"434.56","434.80","427.35","428.84","7,159,519"
12/15/2021,"426.11","432.98","423.67","432.75","6,871,253"
12/14/2021,"425.80","428.24","423.20","426.09","6,522,926"
12/13/2021,"432.36","432.66","428.75","429.01","5,923,878"
12/10/2021,"431.44","432.96","428.95","432.85","6,238,301"
12/09/2021,"430.46","431.32","428.61","428.76","5,035,427"
12/08/2021,"430.95","432.14","429.24","431.70","4,476,542"
12/07/2021,"426.98","431.10","426.94","430.49","4,731,920"
12/06/2021,"419.41","423.66","417.00","421.82","7,289,493"
