Date,Open,High,Low,Close,Volume
01/03/2022,"437.93","439.27","435.64","439.25","6,017,303"
12/31/2021,"437.23","438.38","436.39","436.57","5,185,608"
12/30/2021,"439.39","440.36","437.32","437.77","3,751,831"
12/29/2021,"438.50","439.95","437.54","439.01","4,596,686"
12/28/2021,"439.28","440.19","437.66","438.48","4,865,844"
12/27/2021,"433.98","438.82","433.95","438.81","4,986,317"
12/23/2021,"430.91","434.10","430.87","432.64","5,032,684"
12/22/2021,"425.45","430.09","425.32","429.99","4,992,213"
12/21/2021,"421.65","425.85","419.52","425.69","6,916,663"
12/20/2021,"419.39","420.22","416.30","419.80","9,903,413"
12/17/2021,"425.85","428.79","422.67","424.39","8,883,451"
12/16/2021,"434.56","434.80","427.35","428.84","7,159,519"
12/15/2021,"426.11","432.98","423.67","432.75","6,871,253"
12/14/2021,"425.80","428.24","423.20","426.09","6,522,926"
12/13/2021,"432.36","432.66","428.75","429.01","5,923,878"
12/10/2021,"431.44","432.96","428.95","432.85","6,238,301"
12/09/2021,"430.46","431.32","428.61","428.76","5,035,427"
12/08/2021,"430.95","432.14","429.24","431.70","4,476,542"
12/07/2021,"426.98","431.10","426.94","430.49","4,731,920"
12/06/2021,"419.41","423.66","417.00","421.82","7,289,493"
12/03/2021,"422.12","423.19","412.77","416.84","10,228,930"
12/02/2021,"414.42","422.06","414.03","420.56","10,417,670"
12/01/2021,"424.47","427.22","413.97","414.24","8,370,491"
11/30/2021,"424.80","426.63","418.63","419.06","8,657,643"
11/29/2021,"426.71","428.98","424.55","427.24","6,300,761"
11/26/2021,"425.19","426.52","420.90","422.14","7,702,478"
11/24/2021,"428.56","431.75","427.71","431.53","4,569,588"
11/23/2021,"429.57","431.29","427.04","430.47","6,801,311"
11/22/2021,"432.93","435.41","429.72","429.91","4,875,928"
11/19/2021,"431.87","432.99","430.38","431.05","4,886,525"
11/18/2021,"431.44","432.17","428.80","431.86","4,736,823"
11/17/2021,"431.24","431.39","429.84","430.37","3,764,856"
11/16/2021,"429.52","432.59","429.47","431.41","3,266,998"
11/15/2021,"430.95","431.01","428.65","429.77","3,122,286"
11/12/2021,"427.66","430.17","426.73","429.57","3,655,495"
11/11/2021,"427.70","427.82","426.39","426.40","3,634,631"
11/10/2021,"428.09","429.73","424.81","426.26","6,350,658"
11/09/2021,"431.56","431.75","428.34","429.72","4,696,024"
11/08/2021,"431.88","432.34","430.50","431.23","3,511,610"
11/05/2021,"431.55","432.76","429.30","430.71","4,942,933"
11/04/2021,"427.85","429.37","427.54","429.25","4,287,284"
11/03/2021,"424.14","427.66","423.69","427.25","3,562,910"
11/02/2021,"423.15","424.96","423.01","424.69","2,989,214"
11/01/2021,"423.19","423.57","421.28","423.05","3,937,315"
10/29/2021,"419.15","422.52","418.87","422.16","4,637,741"
10/28/2021,"418.78","421.44","418.75","421.41","3,643,561"
10/27/2021,"419.66","420.29","417.28","417.33","2,873,514"
10/26/2021,"420.27","421.53","418.86","419.15","3,085,261"
10/25/2021,"417.64","419.14","415.93","418.75","2,511,465"
10/22/2021,"416.58","418.00","414.70","416.59","3,648,855"
10/21/2021,"415.38","417.24","414.94","417.01","2,579,450"
10/20/2021,"414.74","416.22","414.65","415.99","3,208,156"
10/19/2021,"412.74","414.38","412.14","414.38","2,838,262"
10/18/2021,"408.20","411.46","407.53","411.18","3,402,670"
10/15/2021,"408.92","410.26","408.28","409.93","3,501,619"
10/14/2021,"403.70","406.95","403.22","406.76","3,788,390"
10/13/2021,"399.64","400.88","396.75","400.04","6,492,363"
10/12/2021,"400.55","400.92","397.87","398.76","6,201,264"
10/11/2021,"401.91","404.74","399.56","399.56","3,695,672"
10/08/2021,"404.04","404.39","401.94","402.49","3,960,919"
10/07/2021,"403.07","406.05","402.85","403.25","4,409,195"
10/06/2021,"394.65","400.02","393.06","399.81","6,589,951"
10/05/2021,"395.56","400.35","394.79","398.04","5,523,244"
10/04/2021,"398.12","398.94","391.96","394.21","8,820,427"
10/01/2021,"396.23","400.85","392.77","399.12","8,482,196"
09/30/2021,"400.85","401.52","394.34","394.40","9,511,155"
