Date,Close/Last,Volume,Open,High,Low
12/31/2020,231.87,4228870,229.28,232.28,228.89
12/30/2020,229.65,3257957,229.54,230.585,229.08
12/29/2020,229.57,3800358,230.5,231.1,229.1
12/28/2020,228.41,3507318,228.09,230.15,227.36
12/24/2020,226.53,2386994,224.6,227.125,224.21
12/23/2020,224.24,4984149,222.63,224.91,222.61
12/22/2020,221.88,6165628,223.58,223.75,221.76
12/21/2020,223.49,7376589,222.02,224.2,221.26
12/18/2020,223.43,20672800,224.79,225.2,221.68
12/17/2020,224.68,7390467,222.51,225.02,221.6673
12/16/2020,221.91,7994869,225.48,225.48,221.82
12/15/2020,224.38,5169074,224.83,225.86,222.73
12/14/2020,222.85,6545455,227.68,228.06,222.36
12/11/2020,226.39,4028353,225.2,226.73,224.595
12/10/2020,227.35,4567434,226.45,227.87,225.728
12/09/2020,227.51,4874314,228.57,228.9,226.635
12/08/2020,228.19,4590686,227.46,228.735,226.61
12/07/2020,229.24,4743430,231.26,231.26,228.1
12/04/2020,231.35,4753002,230.24,231.89,230.24
12/03/2020,231.02,4699041,230,231.5,228.87
12/02/2020,230.42,4681526,229.8,230.59,228.31
12/01/2020,229.68,4442626,230.23,231.98,229.34
11/30/2020,228.91,5989549,231.19,231.29,228.165
11/27/2020,231.55,1935806,233.1,234.17,230.45
11/25/2020,233.13,3249877,233.92,234,232.0104
11/24/2020,233.92,4714771,232.45,234.99,231.24
11/23/2020,229.54,3632543,229.77,230.5,228.0442
11/20/2020,227.01,4028442,228.78,229.72,226.771
11/19/2020,229.53,4623632,229.67,229.97,227.6154
11/18/2020,230.07,4741785,233.57,234.476,230
11/17/2020,233.16,5040020,231.93,234.97,230.01
11/16/2020,233.1,5768612,230.58,233.46,229.86
11/13/2020,227.42,4790845,226.5,228.145,225.29
11/12/2020,224.72,5111764,225.01,225.88,223.18
11/11/2020,227.37,4789221,228.5,228.98,225.4701
11/10/2020,228.48,7059371,221.82,228.61,220.94
11/09/2020,221.5,11343440,221.97,225.23,218.01
11/06/2020,208.85,4324663,208.45,210.26,207.5875
11/05/2020,207.45,5940982,208.69,210.86,206.97
11/04/2020,206.17,5978686,206.59,210.15,204.78
11/03/2020,206.63,5472813,206.93,209.8007,206.36
11/02/2020,204.31,5940592,204.84,206.18,203.06
10/30/2020,201.9,5755622,200.51,202.271,198.7
10/29/2020,201.51,5227943,200.03,202.955,197.81
10/28/2020,200.7,7538290,202.68,203.88,199.79
10/27/2020,206.88,3039192,208,208.48,206.58
10/26/2020,208.49,4717982,209.64,210.26,207
10/23/2020,212.71,2831432,212.43,213.87,211.73
10/22/2020,211.61,2949963,209.63,211.78,209.23
10/21/2020,210.18,3196330,208.97,211.38,208.6103
10/20/2020,210.06,3888817,209.63,211.45,209.41
10/19/2020,208.99,3413786,212.16,212.32,208.2
10/16/2020,211.91,3630992,211.84,213.8253,211.81
10/15/2020,211.65,3063809,209.27,211.99,208.22
10/14/2020,210.91,5026903,212.02,212.35,210.54
10/13/2020,212.31,4850195,215.76,216.38,212
10/12/2020,216.41,3903098,216.74,217.43,215.12
10/09/2020,215.68,3091717,215.88,216.2924,214.16
10/08/2020,215.15,3612138,214.39,215.69,213.44
10/07/2020,213.29,3759814,212.33,214.67,211.36
10/06/2020,210.26,5315644,212.65,213.48,209.65
10/05/2020,212.36,3649194,213.09,213.9,212.05
10/02/2020,211.18,4421401,209.84,213.68,209.53
10/01/2020,212.02,4758944,214.3,214.385,210.62
09/30/2020,212.94,5822458,211.11,213.7,210.7522
09/29/2020,210.44,4037925,213.59,213.59,210.24
09/28/2020,213.54,5043931,213.22,215.47,212.0206
09/25/2020,210.45,3563345,207,211.11,206.82
09/24/2020,208.72,3963496,209.14,210.23,206.58
09/23/2020,209.61,4424597,213.94,214.88,209.38
09/22/2020,214.16,5291711,212.54,214.75,211.7
09/21/2020,213.02,8342537,214,215.45,208.73
09/18/2020,218.21,11864010,219.08,221.01,217.83
09/17/2020,218.05,6942515,218.46,218.68,216.5
09/16/2020,219.59,5663404,220.28,222.26,219.19
09/15/2020,218.94,3864321,220.08,221.57,218.45
09/14/2020,219.94,4070857,219,221.32,218.3
09/11/2020,217.93,3437465,218,219.265,216.92
09/10/2020,217.8,3838665,220.54,220.68,217.15
09/09/2020,219.63,5418297,218.95,221.62,218.52
09/08/2020,217.8,7001501,217.28,219.19,215.3393
09/04/2020,218.32,6042649,219.95,221.48,215.06
09/03/2020,218.15,7095354,222,223.2399,216.43
09/02/2020,221.68,5495005,218.13,222.09,218.13
09/01/2020,218.55,4134939,216.92,218.59,216.62
08/31/2020,218.04,6134606,218.62,219.45,217.65
08/28/2020,218.55,4291213,217.51,218.81,215.7297
08/27/2020,216.87,4814583,214.99,217.98,214.76
08/26/2020,214.66,4640785,212.98,215.83,212.3
08/25/2020,213.35,3676863,213.56,214,212.85
08/24/2020,212.61,5040022,209.23,213.3,208.91
08/21/2020,207.43,4786825,205.52,208.4,205.52
08/20/2020,206.12,4134384,205.17,206.79,204.51
08/19/2020,207.21,5831268,209.19,210.21,206.66
08/18/2020,208.33,3501913,206.95,209.76,206.8
08/17/2020,206.78,5486419,210.05,210.82,206.34
08/14/2020,210.96,3444703,211.04,211.97,210.25
08/13/2020,211.98,4537189,212.93,213.33,211.66
08/12/2020,213.24,4792657,213.1,214.39,212.31
08/11/2020,212.66,5689794,214.74,215.6,212.24
08/10/2020,212.58,6635745,211.34,212.92,209.4
08/07/2020,209.48,6191783,204.2,209.75,204
08/06/2020,205.02,3387477,203,205.39,202.7
08/05/2020,203.62,5269199,201.44,204.69,201
08/04/2020,200.24,3839089,198.97,200.31,198.11
08/03/2020,199.26,6253519,197.28,200.68,196
07/31/2020,195.78,5943185,195.06,196,193.33
07/30/2020,194.3,4834570,193.43,194.57,192.25
07/29/2020,196.41,4069954,194.03,196.67,193.73
07/28/2020,194.12,4412796,190.9,194.46,190.61
07/27/2020,192.14,4312003,193.83,193.99,191.77
07/24/2020,194.52,5143693,193.25,196.28,193.05
07/23/2020,193.25,6039644,191.71,193.39,191.48
07/22/2020,192.1,4184472,191.78,192.24,190.63
07/21/2020,192.27,5257941,190.4,193.45,190.4
07/20/2020,190.48,4092175,190.02,191.23,189.48
07/17/2020,190.76,5187529,191.77,192.12,190.4686
07/16/2020,191.01,4773368,188.32,191.93,188.32
07/15/2020,190.56,7558957,192.64,193.05,188.75
07/14/2020,189.71,14687110,182.42,190.08,182.42
07/13/2020,184.13,7888833,183.81,185.82,183.31
07/10/2020,182.9,5487025,178.26,182.96,178.09
07/09/2020,178.8,5424922,181.79,181.88,177.77
07/08/2020,181.2,5557679,180.42,182.3119,179.77
07/07/2020,181.15,4956616,182.02,182.49,180.6
07/06/2020,182.72,6449353,183.1,183.52,181.59
07/02/2020,178.83,5165918,180.45,180.94,178.24
07/01/2020,177.99,4623976,178.41,180.45,177.34
06/30/2020,178.51,6766502,176.75,179.12,176.51
06/29/2020,177.19,5222730,175.9,177.22,175.33
06/26/2020,175.37,14776380,176.71,178.7,174.63
06/25/2020,178.85,6385076,176.58,179.7195,176.06
06/24/2020,177.53,8086306,179.61,179.65,177.26
06/23/2020,181.01,6382428,181.87,182.39,180.4
06/22/2020,180.17,5822331,179.55,181.8,178.87
06/19/2020,179.72,8765108,183.5,183.88,179.01
06/18/2020,180.73,4924460,179.9,181.36,179.04
06/17/2020,180.86,6458205,183.03,183.15,180.11
06/16/2020,182.3,9414597,186.55,186.7,179.75
06/15/2020,181.55,8111656,177,181.7699,176.05
06/12/2020,181.21,9479915,184.02,184.02,178.22
06/11/2020,178.02,15387900,185,186.9296,177.93
06/10/2020,191.51,7351508,195.85,196.34,191.37
06/09/2020,196.07,7735857,197.15,198.79,195.83
06/08/2020,201.56,6706518,202.34,203.33,199.56
06/05/2020,200.66,10400940,197.88,201.49,196.22
06/04/2020,192.05,5818236,190.41,192.11,189.69
06/03/2020,190.82,6710121,188.75,191.62,187.81
06/02/2020,185.94,5806026,183.99,186.44,183.99
06/01/2020,183.84,5722581,185.53,185.71,183.185
05/29/2020,185.58,10631070,183.08,185.87,182.53
05/28/2020,185.1,6315543,187.24,187.28,183.92
05/27/2020,185.77,7416421,184.665,185.98,183.8
05/26/2020,180.34,7110034,179.99,181.69,178.68
05/22/2020,174.93,3589844,174.86,175.12,173.21
05/21/2020,174.94,4062440,175.74,176.65,174.47
05/20/2020,176.02,5459007,174.61,176.87,174.29
05/19/2020,172.49,5580754,174.12,174.87,172.34
05/18/2020,175.46,7463845,174,176.87,172.3091
05/15/2020,169.25,5941213,169.82,170.66,168.52
05/14/2020,170.93,7016473,168.8,171.4,167.0401
05/13/2020,170.57,10262670,172,172.61,169.44
05/12/2020,172.81,6483703,175.2,175.7149,172.73
05/11/2020,174.64,9239404,175.23,175.96,173.61
05/08/2020,176.83,5798965,176.71,177.26,174.28
05/07/2020,173.48,6702275,173.4,175.38,173.05
05/06/2020,172.38,9016047,176.94,177.04,172.34
05/05/2020,176.03,9019874,180.045,180.23,175.93
05/04/2020,177.95,9455779,179.78,180.36,176.3401
05/01/2020,182.67,7516538,185.21,185.89,181.64
04/30/2020,187.36,8224394,188.3,189.87,186.71
04/29/2020,189.61,7654591,190.64,192.68,188.93
04/28/2020,187.12,6679292,190.54,191,187
04/27/2020,187.46,6625074,187.78,189.37,186.35
04/24/2020,186.52,5206780,187.08,187.28,184.42
04/23/2020,185.63,6214098,186.99,187.35,184.5
04/22/2020,186.58,5473376,186.46,187.37,185.34
04/21/2020,183.48,5886829,184.17,185.78,183.28
04/20/2020,188.75,6475978,188.72,189.35,187.3
04/17/2020,191.2,8275774,192.89,192.9,189.02
04/16/2020,187.96,6257017,188.9,188.99,185.8
04/15/2020,188.57,6143064,188.56,189.59,187.47
04/14/2020,192.94,7033292,193.32,194.16,190.82
04/13/2020,188.77,7897317,193.85,193.85,186.08
04/09/2020,193.84,10525210,194,197.23,191.45
04/08/2020,191.01,6112986,187.55,191.42,185.14
04/07/2020,185.25,8151274,191.99,192,184.9
04/06/2020,185.24,9943688,184.61,186.41,180.49
04/03/2020,178.34,6645402,178.59,180.22,175.44
04/02/2020,179.73,7276305,175,180.31,174.225
04/01/2020,175.95,8684977,176.18,178.67,174.19
03/31/2020,182.83,8999502,182.05,186.17,180.57
03/30/2020,183.18,7674376,180.04,184.11,178
03/27/2020,179.66,10264580,178.5,184.24,176.72
03/26/2020,183.9,14145130,181.29,184.96,179.59
03/25/2020,180.47,13856490,180.01,189.07,175.17
03/24/2020,178.2,14094000,170.91,179.14,169.53
03/23/2020,162.13,16512830,165.3,166.69,159.5
03/20/2020,170.06,15218820,176.3,177.18,167.2945
03/19/2020,174.68,12492310,170.21,176.18,166
03/18/2020,172.44,16682840,177.29,181.39,167
03/17/2020,187.6,15081850,181.88,187.81,177
03/16/2020,177.77,14171800,174,188.38,173.62
03/13/2020,196.4,14867020,187.45,196.5,178.41
03/12/2020,175.97,22303500,183.6,187.6699,175
03/11/2020,194.64,9586080,197.32,198.13,192.87
03/10/2020,202.73,10931660,201.35,202.86,195.0517
03/09/2020,193.13,13986190,195,198.479,192.26
03/06/2020,205.98,9443910,203.48,207.41,202.35
03/05/2020,208.96,8114450,212.55,212.75,207.01
03/04/2020,217.86,7409199,212.14,218.34,209.26
03/03/2020,208.81,10717120,217.39,218.15,206.2
03/02/2020,217.63,10408120,207.25,218.8,204.4339
02/28/2020,206.34,15149590,201.92,206.44,199.68
02/27/2020,207.67,10945540,212.9,214.38,207.28
02/26/2020,216.06,6907568,219.65,220.63,215.94
02/25/2020,218.05,8560131,222.2,223.24,216.76
02/24/2020,221.69,7933733,221.31,223.94,220.27
02/21/2020,229.33,4702108,227.53,230.07,226.98
02/20/2020,228.17,3549133,229.76,229.79,227.15
02/19/2020,229.24,3189102,227.68,229.71,226.93
02/18/2020,226.77,3153466,226.39,227.38,225.27
02/14/2020,226.8,2506699,226.49,227.14,225.52
02/13/2020,226.47,2838906,226.53,227.4,226.1
02/12/2020,227.44,3786174,227.6,228.84,226.91
02/11/2020,227.33,2918511,228.59,228.59,227.02
02/10/2020,227.11,2945177,227.17,227.7503,225.13
02/07/2020,227.38,2886854,228.07,228.62,226.67
02/06/2020,229.61,2801166,229.56,230.08,228.53
02/05/2020,228.65,3364133,226.91,228.68,226.75
02/04/2020,225.08,3643707,226.15,226.94,224.79
02/03/2020,223.47,3525322,225.48,226.32,223
01/31/2020,224.43,3948507,226.49,226.97,223.43
01/30/2020,227.88,3355343,223.11,228.08,222.48
01/29/2020,224.5,2311394,224.75,226.4,224.31
01/28/2020,224.03,3613154,223.44,225.35,223.16
01/27/2020,222.45,5455063,223.7,223.9,221.11
01/24/2020,226.86,4024035,229.4,229.41,226.04
01/23/2020,229.38,4750042,229.43,229.77,227.3492
01/22/2020,229.54,3164373,229,230.38,228.41
01/21/2020,228.63,5842158,229.85,231.13,227.95
01/17/2020,230.2,6603956,230.13,231.61,229.55
01/16/2020,229.73,3037238,229.34,230.03,228.52
01/15/2020,228.35,2664870,226.8,228.64,226.78
01/14/2020,227.17,3356233,227.85,228.3899,226.88
01/13/2020,228.45,3287976,227.05,228.47,226.1251
