Date,Close/Last,Volume,Open,High,Low
12/31/2020,130.55,19242440,131.365,131.5112,129.15
12/30/2020,131.4575,22539716,129.903,132.1375,128.9675
12/29/2020,129.4325,17037216,129.25,130.725,128.4225
12/28/2020,129,21256564,130.625,130.625,127.6318
12/24/2020,129.9375,9788352,130.3725,131.325,129.3875
12/23/2020,130.0925,17914276,132.56,132.75,130.05
12/22/2020,132.7825,18631488,133.1925,133.3725,130.5388
12/21/2020,133.3225,30233216,130.7475,133.7,129.675
12/18/2020,132.72,34206464,133.79,134.05,130.705
12/17/2020,133.4125,23138388,133.6675,133.795,131.785
12/16/2020,132.425,22311468,134.225,134.3725,132.125
12/15/2020,133.605,19348592,134.3975,134.64,131.8675
12/14/2020,133.0875,27015788,130.8788,133.8875,130.775
12/11/2020,130.1325,20926564,129.6725,130.2,128.23
12/10/2020,129.7225,20776472,128.69,130.6875,128.4938
12/09/2020,129.3075,40130120,133.005,134.14,128.6824
12/08/2020,133.5,27192088,135.85,135.9875,132.815
12/07/2020,136.0675,22324324,136.0125,137.3125,135
12/04/2020,135.5825,20224340,134.485,135.6,133.8869
12/03/2020,133.96,19952064,135.875,136.6,133.29
12/02/2020,135.445,28336120,133.505,136.7344,132.3425
12/01/2020,133.9,29757128,134.9225,135.2875,132.2825
11/30/2020,134.015,28695200,132.65,134.125,129.7235
11/27/2020,132.6125,16727520,133.75,134.075,131.7055
11/25/2020,132.3475,25991640,130.325,132.6939,130.2
11/24/2020,129.5775,34649996,131.425,131.62,128.85
11/23/2020,131.4,36135420,131.7113,133.825,130.155
11/20/2020,130.8775,34108980,134.54,134.945,130.65
11/19/2020,134.4025,56593440,132.1275,134.875,131
11/18/2020,134.2875,51092520,134.6525,136.0575,131.85
11/17/2020,134.2225,31202796,135.525,135.9625,133.0387
11/16/2020,135.1525,41377480,131.725,136.495,131.56
11/13/2020,132.97,34676232,136.2728,136.6875,130.5925
11/12/2020,134.5675,36663500,134.7893,137.66,133.16
11/11/2020,134.18,40474360,130.5375,134.3488,129.4825
