Date,Close/Last,Volume,Open,High,Low
01/04/2022,144.42,80200460,151.01,152.42,140.7
01/03/2022,150.24,59477670,145.135,151.65,145.02
12/31/2021,143.9,49448140,146.16,148.61,143.55
12/30/2021,145.15,44358000,147.44,148.85,144.85
12/29/2021,148.26,51300210,152.82,154.3399,147.29
12/28/2021,153.15,58699070,155.88,156.73,151.38
12/27/2021,154.36,53296380,147.51,154.89,147.25
12/23/2021,146.14,48653790,143.89,149.018,143.85
12/22/2021,143.88,46923680,142.65,144.5,140.27
12/21/2021,144.25,57785240,138.185,144.5,135.15
12/20/2021,135.8,38195400,135.97,138.26,133.52
12/17/2021,137.75,55692280,136.3,142.04,136.11
12/16/2021,138.64,63369550,147,147.93,137.02
12/15/2021,146.5,72425780,135.11,146.69,133.81
12/14/2021,135.6,50754640,131.67,137.24,130.6
12/13/2021,133.8,42173960,138.25,139.4,133.415
12/10/2021,138.55,42224280,141.29,141.365,135.82
12/09/2021,138.1,53019930,145.16,146.69,137.8
12/08/2021,145.24,40977480,144.96,147.04,142.7
12/07/2021,144.85,53359430,143.9,145.76,141.0001
12/06/2021,139.06,66776490,141.135,141.31,134.2
12/03/2021,144.01,65910030,151.645,152.38,140.72
12/02/2021,150.68,56161220,147.675,152.53,146.47
12/01/2021,149.11,64185120,160.37,160.88,148.92
11/30/2021,158.37,75182550,163.28,164.4599,155.6801
11/29/2021,161.91,57438870,157.5,162.505,156.1
11/26/2021,154.81,36245070,155.8,158.1,152.81
11/24/2021,157.8,60677060,149.46,157.93,147.19
11/23/2021,149.92,62852710,150.41,152.66,145.2996
11/22/2021,152.52,58674080,157.14,161.8799,152.39
11/19/2021,155.41,41668860,155.76,156.92,153.445
11/18/2021,155.02,60612730,157.07,158.89,152.56
11/17/2021,151.34,54527480,151.98,154.6599,149.69
11/16/2021,152.45,53100810,145.93,153.08,145.34
11/15/2021,146.49,52271270,148,148.98,142.86
11/12/2021,147.89,52162140,146.025,148.59,144.25
11/11/2021,146.01,67934850,142.955,146.47,140.84
11/10/2021,139.87,82989150,143.93,146.3,138.52
11/09/2021,148.92,98442600,154.01,155.65,143.89
11/08/2021,150.16,141493800,137.7,153.6,137.7
11/05/2021,136.34,64920600,139.185,141.22,134.42
11/04/2021,137.5,84825160,132.01,139,130.77
11/03/2021,130.53,59537820,127.75,130.6,126.7901
11/02/2021,127.63,53491940,124.98,128.455,124.2
11/01/2021,125.23,54559780,119.45,125.67,118.1301
10/29/2021,120.23,43320130,120.95,122.57,119.88
10/28/2021,121.16,58002460,122.855,123.5,120.26
10/27/2021,122.28,98245320,121.63,128.08,121.05
10/26/2021,122.93,59458930,122.99,127.2,122.5782
10/25/2021,122.36,47834120,120.515,123.4599,118.6
10/22/2021,119.82,38992690,120.825,121.56,118.37
10/21/2021,119.33,34794950,116.5,119.68,116.26
10/20/2021,116.39,34244810,116.29,118.3001,115.421
10/19/2021,116.33,39593940,116.16,117.17,114.47
10/18/2021,116.43,47537760,111.9,116.88,111.37
10/15/2021,112.12,34203010,112.505,112.835,111.11
10/14/2021,111.99,46900160,110.5,112.22,109.6301
10/13/2021,109.16,55631920,106.275,109.88,106.25
10/12/2021,105.04,34039910,105.165,106.04,104.34
10/11/2021,104.68,31284390,104.62,107.2,104.022
10/08/2021,105.06,30623050,106.55,107.28,104.89
10/07/2021,106.45,41543110,104.6,107.95,104.46
10/06/2021,103.64,39071700,100.445,103.72,100.35
10/05/2021,101.81,31455250,100.92,102.8699,100.6101
10/04/2021,100.34,41967150,101.742,101.85,99.82
10/01/2021,102.45,41491590,102.6,103,100.64
09/30/2021,102.9,57636700,102.08,104.44,101.99
09/29/2021,100.35,52224720,102.295,102.66,99.81
09/28/2021,101.52,74468970,106.835,107.65,101.42
09/27/2021,108.16,51944350,105.065,108.44,103.44
09/24/2021,105.8,26482610,105.185,106.0499,104.68
09/23/2021,106.15,32816660,104.89,106.86,103.89
09/22/2021,104.38,34126280,102.815,104.56,102.21
09/21/2021,102.82,35481500,102.15,103.4299,101.18
09/20/2021,101.55,45228410,101.58,102.51,99.51
09/17/2021,103.88,44528340,105.555,105.98,103.71
09/16/2021,106.22,38150270,104.915,106.75,103.76
09/15/2021,105.6,37998940,106,106.32,104.03
09/14/2021,105.73,40629530,105.52,106.82,104.42
09/13/2021,104.8,37767790,105.26,105.28,102.63
09/10/2021,105.2,32602290,106.99,106.9913,104.98
09/09/2021,106.15,31857870,106.56,107.2953,105.84
09/08/2021,106.17,43067910,108.88,109.3,105.52
09/07/2021,109.15,28815230,109.955,110.58,108.66
09/03/2021,109.92,42623780,108.85,111.17,108.5
09/02/2021,109.2,40108760,110.32,110.88,108.77
09/01/2021,109.99,38579560,111.3,111.85,109.85
08/31/2021,110.72,49338960,111.26,111.26,109.0343
08/30/2021,111.32,56130470,112.61,114.4899,111.26
08/27/2021,111.4,61030010,108.01,111.78,107.8
08/26/2021,107.27,51442550,108.57,109.2299,106.84
08/25/2021,108.3,45485500,108.13,109.91,107.45
08/24/2021,107.65,51239300,109.45,109.61,107.28
08/23/2021,108.77,68835280,105.295,109.02,104.86
08/20/2021,104.65,55227560,104.32,105.98,103.99
08/19/2021,103.7,71117490,103.315,106.18,101.975
08/18/2021,103.44,79387940,107.35,108.07,103.27
08/17/2021,107.56,74053910,106.644,108.7,105.35
08/16/2021,107.48,73398940,110.2,111.58,105.865
08/13/2021,110.55,100135700,107.17,111.71,106.57
08/12/2021,106.5,60625730,107.39,108.44,105.86
08/11/2021,107.68,91788290,107.6,109.79,105.62
08/10/2021,106.48,113012300,107.895,109.17,104.36
08/09/2021,107.58,115749900,111.31,112.33,107.06
08/06/2021,110.11,143899000,110.55,116.2599,109.7
08/05/2021,112.35,137860900,116.63,117.68,111.59
08/04/2021,118.77,225368700,114.36,122.49,114.16
08/03/2021,112.56,157723100,108.15,114.85,107.66
08/02/2021,108.63,115581900,105.93,110.33,103.83
07/30/2021,106.19,125632000,101.6,106.97,101.38
07/29/2021,102.95,164091800,96.58,105.74,96.58
07/28/2021,97.93,140561000,93.44,98.71,89.65
07/27/2021,91.03,69427020,92.94,94.1,89.1
07/26/2021,91.82,27668460,92.01,92.75,91.12
07/23/2021,92.15,31708900,91.348,92.37,90.19
07/22/2021,91.21,33730080,89.4,91.36,89.08
07/21/2021,89.41,29469860,87.25,89.49,86.9
