Date,Close/Last,Volume,Open,High,Low
01/05/2022,129.37,3396400,148.39,148.85,129.1501
01/04/2022,148.91,1834894,152.17,152.99,143.05
01/03/2022,152.84,1417001,149.23,159.38,149.21
12/31/2021,148.39,1393964,153.62,156.73,148.1
12/30/2021,155.33,1561882,151,160,150
12/29/2021,153.93,2037406,147.85,155.49,142.14
12/28/2021,146.46,1334472,147.5,157.41,146.41
12/27/2021,148.31,1615449,152,152.6211,140
12/23/2021,152.14,1055539,154,155,146.02
12/22/2021,154,1047154,158.33,159.1545,152.12
12/21/2021,158.12,1430238,157.06,160.25,155.14
12/20/2021,157.14,1828561,153.19,159.68,149.7
12/17/2021,155.64,4311620,143.75,158.5656,139.331
12/16/2021,144.59,2164762,152.93,154.44,142.13
12/15/2021,148.59,2765992,147.46,152,141.12
12/14/2021,147.69,6512133,131,150.3736,129.5
12/13/2021,136.88,5486201,160.33,160.89,135.0701
12/10/2021,159.01,4526860,159.83,162.3,148
12/09/2021,155.76,5084340,167,172.69,151
12/08/2021,173.65,2611195,176.6,180.2499,171.96
12/07/2021,177.81,1972395,175.18,181.98,170.51
12/06/2021,167.12,2228636,166,173.34,163.2
12/03/2021,172.39,4096688,181,183.93,159.0501
12/02/2021,181.56,2087100,185,187.43,173.07
12/01/2021,179.84,2355535,199.4,200.105,177.01
11/30/2021,196.21,1723949,200.1,203.9459,188
11/29/2021,202.01,1108844,204,207.91,200.94
11/26/2021,199.72,1235277,208.08,211.7299,199.2
11/24/2021,211.78,1309388,217.25,223.9899,208
11/23/2021,213.9,3351636,243.84,252.2,212.5601
11/22/2021,247.55,4379604,230.46,249.64,229.745
11/19/2021,228.8,3043720,209.14,229.39,208.2524
11/18/2021,210.12,1005775,210.25,215.1376,207.5
11/17/2021,210,1352714,206.3,217.7,206
11/16/2021,207.18,1214596,209.02,212.57,203.625
11/15/2021,209.14,1466424,203.86,211.5,201.69
11/12/2021,202.1,927991,202.14,205.36,197.88
11/11/2021,204.32,1079401,200,208.09,198.1501
11/10/2021,199.19,1309389,202.12,207.39,196.5
11/09/2021,206.6,1845298,222,223.4899,204.44
11/08/2021,218.64,2157912,212.5,225.04,212.01
11/05/2021,213.25,1810717,220.64,221,209.01
11/04/2021,217.84,2907976,222,228.97,211.55
11/03/2021,218.33,11265590,214,255.69,208.2501
11/02/2021,206.99,3882336,199.35,211.9381,191.69
11/01/2021,200.09,4944203,182.53,208.57,182.05
10/29/2021,183.51,2293970,182.81,185.75,178
10/28/2021,182.85,1696206,175.16,183.14,175
10/27/2021,173.51,1106998,180,183.09,172.33
10/26/2021,177.84,2176749,173.36,185,172.5
10/25/2021,173.97,1442806,169.42,174.8,167.26
10/22/2021,169.8,2800443,178.1,179.49,167.8
10/21/2021,181.71,2402368,184.71,190.6999,180.6
10/20/2021,184.52,2276903,186.33,188,181.98
10/19/2021,186.79,2070618,188.99,192.18,184.4
10/18/2021,186.02,1589648,182.94,189.87,182.5453
10/15/2021,183.28,1199977,184,186.98,180.88
10/14/2021,183.83,1676008,183.76,190.2,182.6
10/13/2021,184.06,1930239,178.3,188.21,176
10/12/2021,175.82,1233652,180.5,181.78,173.8
10/11/2021,178.1,2684855,173,188.49,173
10/08/2021,172.68,818207,172.5,175.72,171.12
10/07/2021,172.12,1159326,172,175.2,170.5406
10/06/2021,171.07,1200320,170.06,172.96,165.81
10/05/2021,172.18,1315854,171.19,173.1699,166.7
10/04/2021,171.36,1195738,175.95,176.95,170.771
10/01/2021,176.91,1551139,179.4,179.49,172.25
09/30/2021,175.47,3177453,175,185.4499,166.79
09/29/2021,175.92,1899933,180.09,184.48,174.61
09/28/2021,178.6,1770493,188,190.8099,178
09/27/2021,189.48,1470146,185.92,192.05,185.87
09/24/2021,185.16,1685759,191,191.7153,184.11
09/23/2021,191.24,1682259,192.33,195.75,190.6
09/22/2021,190.14,2256593,189.64,193.5,186.29
09/21/2021,189.95,2633827,199.36,199.36,186
09/20/2021,192.2,3941802,200,202.8499,184.55
09/17/2021,204.97,3950643,208.02,212.49,200.78
09/16/2021,206.37,3058217,202.33,216.55,201.15
09/15/2021,204.52,2310407,197,204.87,193.751
09/14/2021,199.24,2141631,200.65,204.62,195
09/13/2021,203.4,4334068,193.75,208.88,191.5
09/10/2021,190.41,3042648,198.408,202.16,190
09/09/2021,199.18,7511458,180.085,202,178
09/08/2021,198.8,5173566,201.86,206.88,190.6758
